museum_id,object_id,image_url,http_ok,status_code,content_type,local_file_ok,valid
2,49151,"https://nrs.harvard.edu/urn-3:HUAM:INV004324_dynmc/full/!800,800/0/default.jpg",0,202,text/html; charset=utf-8,1,1
2,49152,"https://nrs.harvard.edu/urn-3:HUAM:INV004325_dynmc/full/!800,800/0/default.jpg",0,202,text/html; charset=utf-8,1,1
2,49153,"https://nrs.harvard.edu/urn-3:HUAM:INV004370_dynmc/full/!800,800/0/default.jpg",0,202,text/html; charset=utf-8,1,1
2,49154,"https://nrs.harvard.edu/urn-3:HUAM:771091/full/!800,800/0/default.jpg",0,202,text/html; charset=utf-8,1,1
2,49155,"https://nrs.harvard.edu/urn-3:HUAM:771092/full/!800,800/0/default.jpg",0,202,text/html; charset=utf-8,1,1
2,49156,"https://nrs.harvard.edu/urn-3:HUAM:771094/full/!800,800/0/default.jpg",0,202,text/html; charset=utf-8,1,1
2,49169,"https://nrs.harvard.edu/urn-3:HUAM:INV004265_dynmc/full/!800,800/0/default.jpg",0,202,text/html; charset=utf-8,1,1
2,49170,"https://nrs.harvard.edu/urn-3:HUAM:INV004268_dynmc/full/!800,800/0/default.jpg",0,202,text/html; charset=utf-8,1,1
2,49180,"https://nrs.harvard.edu/urn-3:HUAM:758668/full/!800,800/0/default.jpg",0,202,text/html; charset=utf-8,1,1
2,49184,"https://nrs.harvard.edu/urn-3:HUAM:INV003832_dynmc/full/!800,800/0/default.jpg",0,202,text/html; charset=utf-8,1,1
2,49190,"https://nrs.harvard.edu/urn-3:HUAM:INV004266_dynmc/full/!800,800/0/default.jpg",0,202,text/html; charset=utf-8,1,1
2,49191,"https://nrs.harvard.edu/urn-3:HUAM:INV004267_dynmc/full/!800,800/0/default.jpg",0,202,text/html; charset=utf-8,1,1
2,49192,"https://nrs.harvard.edu/urn-3:HUAM:INV004276_dynmc/full/!800,800/0/default.jpg",0,202,text/html; charset=utf-8,1,1
2,49193,"https://nrs.harvard.edu/urn-3:HUAM:INV004280_dynmc/full/!800,800/0/default.jpg",0,202,text/html; charset=utf-8,1,1
2,49194,"https://nrs.harvard.edu/urn-3:HUAM:INV004281_dynmc/full/!800,800/0/default.jpg",0,202,text/html; charset=utf-8,1,1
2,49213,"https://nrs.harvard.edu/urn-3:HUAM:INV004277_dynmc/full/!800,800/0/default.jpg",0,202,text/html; charset=utf-8,1,1
2,49214,"https://nrs.harvard.edu/urn-3:HUAM:INV004279_dynmc/full/!800,800/0/default.jpg",0,202,text/html; charset=utf-8,1,1
2,49215,"https://nrs.harvard.edu/urn-3:HUAM:INV004284_dynmc/full/!800,800/0/default.jpg",0,202,text/html; charset=utf-8,1,1
2,49216,"https://nrs.harvard.edu/urn-3:HUAM:INV004322_dynmc/full/!800,800/0/default.jpg",0,202,text/html; charset=utf-8,1,1
2,49217,"https://nrs.harvard.edu/urn-3:HUAM:INV004326_dynmc/full/!800,800/0/default.jpg",0,202,text/html; charset=utf-8,1,1
2,49218,"https://nrs.harvard.edu/urn-3:HUAM:INV004327_dynmc/full/!800,800/0/default.jpg",0,202,text/html; charset=utf-8,1,1
2,49219,"https://nrs.harvard.edu/urn-3:HUAM:INV004334_dynmc/full/!800,800/0/default.jpg",0,202,text/html; charset=utf-8,1,1
2,49220,"https://nrs.harvard.edu/urn-3:HUAM:INV004360_dynmc/full/!800,800/0/default.jpg",0,202,text/html; charset=utf-8,1,1
2,49221,"https://nrs.harvard.edu/urn-3:HUAM:INV004361_dynmc/full/!800,800/0/default.jpg",0,202,text/html; charset=utf-8,1,1
2,49222,"https://nrs.harvard.edu/urn-3:HUAM:INV004365_dynmc/full/!800,800/0/default.jpg",0,202,text/html; charset=utf-8,1,1
2,49223,"https://nrs.harvard.edu/urn-3:HUAM:INV004373_dynmc/full/!800,800/0/default.jpg",0,202,text/html; charset=utf-8,1,1
2,49224,"https://nrs.harvard.edu/urn-3:HUAM:771107/full/!800,800/0/default.jpg",0,202,text/html; charset=utf-8,1,1
2,49225,"https://nrs.harvard.edu/urn-3:HUAM:771110/full/!800,800/0/default.jpg",0,202,text/html; charset=utf-8,1,1
2,49265,"https://nrs.harvard.edu/urn-3:HUAM:INV003826_dynmc/full/!800,800/0/default.jpg",0,202,text/html; charset=utf-8,1,1
2,49266,"https://nrs.harvard.edu/urn-3:HUAM:INV003827_dynmc/full/!800,800/0/default.jpg",0,202,text/html; charset=utf-8,1,1
2,49267,"https://nrs.harvard.edu/urn-3:HUAM:INV003828_dynmc/full/!800,800/0/default.jpg",0,202,text/html; charset=utf-8,1,1
