from,relation,to
entity:artifact:1:ld1-1643390182193-1643390186547-0,title,"Flowers, birds, and insects"
entity:artifact:1:ld1-1643390182193-1643390186548-0,title,A hunting scene
entity:artifact:1:ld1-1643390182193-1643390186550-0,title,Luohans crossing land and sea
entity:artifact:1:ld1-1643390182193-1643390186551-0,title,Conversing beside the Hao River
entity:artifact:1:ld1-1643390182193-1643390186552-0,title,Broad bean flowers and butterflies
entity:artifact:1:ld1-1643390182193-1643390186553-0,title,"Flowers, plants, and insects"
entity:artifact:1:ld1-1643390182193-1643390186554-0,title,Treaty at the Bian Bridge ãæ±´æ©æçåã
entity:artifact:1:ld1-1643390182193-1643390186555-0,title,Life on the river
entity:artifact:1:ld1-1643390182193-1643390186556-0,title,"Ocean sky, rising sun"
entity:artifact:1:ld1-1643390182193-1643390186558-1,title,Spray of roses
entity:artifact:1:ld1-1643390182193-1643390186560-0,title,A branch of loquats and a bird
entity:artifact:1:ld1-1643390182193-1643390186561-0,title,Basket of flowers
entity:artifact:1:ld1-1643390182193-1643390186562-0,title,"Landscape: a mountain brook, a pine, bamboo and blue-jays"
entity:artifact:1:ld1-1643390182193-1643390186563-0,title,Landscape: two men on a river-bank under a pine-tree
entity:artifact:1:ld1-1643390182193-1643390186564-1,title,"Landscape: hills, valley, and stream"
entity:artifact:1:ld1-1643390182193-1643390186566-0,title,The Goddess Chang'e in the Lunar Palace
entity:artifact:1:ld1-1643390182193-1643390186566-1,title,An eagle on a branch
entity:artifact:1:ld1-1643390182193-1643390186568-0,title,"Landscape: a mountainside, a wide stream and distant hills"
entity:artifact:1:ld1-1643390182193-1643390186569-0,title,Sheep and shepherd-boy under a willow
entity:artifact:1:ld1-1643390182193-1643390186576-0,title,Landscape: a man under a pine
entity:artifact:1:ld1-1643390182193-1643390186576-1,title,Winter landscape
entity:artifact:1:ld1-1643390182193-1643390186578-0,title,Landscape: pavilions on a mountain side; a stream below
entity:artifact:1:ld1-1643390182193-1643390186579-0,title,Birds and peaches
entity:artifact:1:ld1-1643390182193-1643390186579-1,title,A blue glass dish filled with fruit
entity:artifact:1:ld1-1643390182193-1643390186581-0,title,Fan mounted as an album leaf
entity:artifact:1:ld1-1643390182193-1643390186583-0,title,Fan mounted as an album leaf
entity:artifact:1:ld1-1643390182193-1643390186584-0,title,Pavilions and people
entity:artifact:1:ld1-1643390182193-1643390186584-1,title,River scene: a man asleep in a boat - ducks swimming by
entity:artifact:1:ld1-1643390182193-1643390186585-0,title,"River landscape: a pagoda, foaming rapids, distant hills"
entity:artifact:1:ld1-1643390182193-1643390186586-0,title,"Landscape: hillsides, rocks, trees, house and a boat"
entity:artifact:1:ld1-1643390182193-1643390186587-0,title,"Mountain landscape: crags, temple and pines"
entity:artifact:1:ld1-1643390182193-1643390186589-0,title,River landscape: a man reading in a boat moored under a blossoming tree
entity:artifact:1:ld1-1643390182193-1643390186590-0,title,Landscape: a palace between lake and mountains
entity:artifact:1:ld1-1643390182193-1643390186592-0,title,Pure sanctuary with pine grown stairs
entity:artifact:1:ld1-1643390182193-1643390186593-0,title,Java Sparrow on a berry branch
entity:artifact:1:ld1-1643390182193-1643390186594-0,title,"River landscape: a willow and other trees, rolling hills, and a high mountain range"
entity:artifact:1:ld1-1643390182193-1643390186597-1,title,"Landscape: trees, houses and a stream among hills"
entity:artifact:1:ld1-1643390182193-1643390186598-0,title,River landscape: trees and houses in the foreground
entity:artifact:1:ld1-1643390182193-1643390186599-1,title,Landscape: cliffs overhanging water - pavilion and pines
entity:artifact:1:ld1-1643390182193-1643390186600-0,title,Birds and plum-blossoms
entity:artifact:1:ld1-1643390182193-1643390186606-1,title,Hawk on a leafless branch
entity:artifact:1:ld1-1643390182193-1643390186607-0,title,Water buffalo and herdboy
entity:artifact:1:ld1-1643390182193-1643390186608-0,title,Horse and groom under a willow
entity:artifact:1:ld1-1643390182193-1643390186608-1,title,Three children playing on a garden terrace
entity:artifact:1:ld1-1643390182193-1643390186609-0,title,Playing the zither under pine trees
entity:artifact:1:ld1-1643390182193-1643390186610-0,title,Resting under willows
entity:artifact:1:ld1-1643390182193-1643390186611-0,title,Pavilion on a wooded promontory
entity:artifact:1:ld1-1643390182193-1643390186615-1,title,A Bird hovering over blossoming branches
entity:artifact:1:ld1-1643390182193-1643390186616-0,title,Bees hovering over flowers
entity:artifact:1:ld1-1643390182193-1643390186617-0,title,Quail and flowers
entity:artifact:1:ld1-1643390182193-1643390186618-0,title,Two mice and a melon vine
entity:artifact:1:ld1-1643390182193-1643390186619-0,title,Red Blossom
entity:artifact:1:ld1-1643390182193-1643390186620-0,title,A blackbird on a branch; autumn leaves
entity:artifact:1:ld1-1643390182193-1643390186621-0,title,Two birds swinging on a branch of bamboo
entity:artifact:1:ld1-1643390182193-1643390186621-1,title,Two crested birds on a branch; autumn leaves
entity:artifact:1:ld1-1643390182193-1643390186622-0,title,Boating to Red Cliff
entity:artifact:1:ld1-1643390182193-1643390186623-0,title,Five trees on a rocky promontory
entity:artifact:1:ld1-1643390182193-1643390186628-0,title,Way-station and travelers
entity:artifact:1:ld1-1643390182193-1643390186632-0,title,Mounted huntsman leading a dog
entity:artifact:1:ld1-1643390182193-1643390186635-0,title,Mountain village
entity:artifact:1:ld1-1643390182193-1643390186638-0,title,Birds and pines
entity:artifact:1:ld1-1643390182193-1643390186640-0,title,Two travelers in the rain
entity:artifact:1:ld1-1643390182193-1643390186641-0,title,Mounted traveler and servant bearing a zither
entity:artifact:1:ld1-1643390182193-1643390186642-0,title,"Island, sun, and flying swallows"
entity:artifact:1:ld1-1643390182193-1643390186645-0,title,Twenty-four landscapes
entity:artifact:1:ld1-1643390182193-1643390186650-1,title,Ritual vessel
entity:artifact:1:ld1-1643390182193-1643390186651-0,title,Vessel
entity:artifact:1:ld1-1643390182193-1643390186654-0,title,Statuette: Buddhist trinity
entity:artifact:1:ld1-1643390182193-1643390186655-0,title,Standing Bodhisattvas
entity:artifact:1:ld1-1643390182193-1643390186656-0,title,Statuette: Avalokiteshvara (Kuan yin)
entity:artifact:1:ld1-1643390182193-1643390186657-0,title,Sakyamuni Buddha seated on a lion throne
entity:artifact:1:ld1-1643390182193-1643390186658-0,title,Bodhisattva Avalokiteshvara (Guanyin)
entity:artifact:1:ld1-1643390182193-1643390186659-0,title,Standing Bodhisattva
entity:artifact:1:ld1-1643390182193-1643390186660-0,title,Statuette
entity:artifact:1:ld1-1643390182193-1643390186661-0,title,Bodhisattva Avalokiteshvara (Guanyin)
entity:artifact:1:ld1-1643390182193-1643390186666-1,title,Mirror (<em>chien</em>)
entity:artifact:1:ld1-1643390182193-1643390186667-0,title,Mirror
entity:artifact:1:ld1-1643390182193-1643390186668-1,title,Mirror
entity:artifact:1:ld1-1643390182193-1643390186670-0,title,Ritual vessel (<em>pou</em>)
entity:artifact:1:ld1-1643390182193-1643390186671-0,title,Two standing bodhisattvas
entity:artifact:1:ld1-1643390182193-1643390186672-1,title,Buddhist tablet
entity:artifact:1:ld1-1643390182193-1643390186673-0,title,Seated Buddha (<em>Shakyamuni</em>) with standing bodhisattvas
entity:artifact:1:ld1-1643390182193-1643390186675-0,title,"Seated Buddha (<em>Shakyamuni</em>) with bodhisattvas, monks, and lions"
entity:artifact:1:ld1-1643390182193-1643390186676-0,title,Buddhist stele
entity:artifact:1:ld1-1643390182193-1643390186677-0,title,Buddhist tablet: standing figure in high relief; right hand missing
entity:artifact:1:ld1-1643390182193-1643390186677-1,title,Seated bodhisattva
entity:artifact:1:ld1-1643390182193-1643390186680-0,title,"Standing bodhisattvas with monks, Pratyekabuddhas, lions, and apasaras"
entity:artifact:1:ld1-1643390182193-1643390186681-0,title,"Seated Buddhas, bodisattva (<em>Samantabhadra</em>) with elephant, and other figures"
entity:artifact:1:ld1-1643390182193-1643390186681-1,title,Seated Buddha (<em>Shakyamuni</em>) with standing monks and bodhisattvas (obverse) and donors (reverse)
entity:artifact:1:ld1-1643390182193-1643390186684-1,title,Green-glazed hu-shaped jar
entity:artifact:1:ld1-1643390182193-1643390186705-0,title,Tomb figure of a seated qilin
entity:artifact:1:ld1-1643390182193-1643390186706-0,title,Tomb figure of a standard bearer
entity:artifact:1:ld1-1643390182193-1643390186708-0,title,Tomb figure of a kneeling ram
entity:artifact:1:ld1-1643390182193-1643390186711-0,title,Ritual wine container (<em>pou</em>)
entity:artifact:1:ld1-1643390182193-1643390186711-1,title,Ritual vessel (<em>pien hu</em>) and stopper
entity:artifact:1:ld1-1643390182193-1643390186712-0,title,"Food container (<em>fu</em>), fragment"
entity:artifact:1:ld1-1643390182193-1643390186715-0,title,Mirror
entity:artifact:1:ld1-1643390182193-1643390186715-1,title,Mirror
entity:artifact:1:ld1-1643390182193-1643390186723-0,title,Table
entity:artifact:1:ld1-1643390182193-1643390186746-1,title,Dragons in clouds
entity:artifact:1:ld1-1643390182193-1643390186747-0,title,Tomb figure of a female attendant
entity:artifact:1:ld1-1643390182193-1643390186748-0,title,Tomb figure of a female attendant
entity:artifact:1:ld1-1643390182193-1643390186760-1,title,"Panel with five dragons, flaming pearls, clouds, and floral patterns"
entity:artifact:1:ld1-1643390182193-1643390186761-0,title,The palaces and gate towers of Penglai
entity:artifact:1:ld1-1643390182193-1643390186763-0,title,Two poems and postscript in standard script
entity:artifact:1:ld1-1643390182193-1643390186763-1,title,White-robed Guanyin
entity:artifact:1:ld1-1643390182193-1643390187678-0,title,"Slab in low relief from mortuary chamber; design, in three registers, of horses, riders, and carts"
entity:artifact:1:ld1-1643390182193-1643390187681-0,title,Xiao Yi obtaining the Lanting Manuscript by trickery
entity:artifact:1:ld1-1643390182193-1643390187686-0,title,Seated Buddha with figures
entity:artifact:1:ld1-1643390182193-1643390187686-1,title,Circular plaque with Buddhist trinity on obverse and brief inscription on reverse
entity:artifact:1:ld1-1643390182193-1643390187687-0,title,Tomb model of a watch dog
entity:artifact:1:ld1-1643390182193-1643390187688-0,title,Jar
entity:artifact:1:ld1-1643390182193-1643390187734-0,title,Birds among peach branches
entity:artifact:1:ld1-1643390182193-1643390187735-0,title,Water buffaloes and herd-boys crossing a stream
entity:artifact:1:ld1-1643390182193-1643390187736-0,title,An immortal and a deer looking at a dragon overhead
entity:artifact:1:ld1-1643390182193-1643390187737-0,title,Portrait of a Han emperor
entity:artifact:1:ld1-1643390182193-1643390187740-0,title,Crouching tiger
entity:artifact:1:ld1-1643390182193-1643390187741-0,title,Small bust of Buddhist figure
entity:artifact:1:ld1-1643390182193-1643390187742-0,title,Ritual water basin (pan)
entity:artifact:1:ld1-1643390182193-1643390187742-1,title,Ritual wine container with lid (<em>you</em>)
entity:artifact:1:ld1-1643390182193-1643390187743-0,title,Ritual vessel (<em>you</em>) and cover
entity:artifact:1:ld1-1643390182193-1643390187744-0,title,Ritual grain server (<em>gui</em>) with masks
entity:artifact:1:ld1-1643390182193-1643390187745-1,title,Ritual wine container (<em>zun</em>) with dragons
