canonical_id,alias,norm_alias,match_method,confidence
entity:artifacttype:costume-accessories-costume-robes-main-garments,Costume accessories; Costume; Robes (main garments),costume accessories costume robes main garments,norm_label,1.0
entity:artifacttype:costume-accessories-costume-skirts-garments,Costume accessories; Costume; Skirts (garments),costume accessories costume skirts garments,norm_label,1.0
entity:artifacttype:costume-accessories-costume-stockings,Costume accessories; Costume; Stockings,costume accessories costume stockings,norm_label,1.0
entity:artifacttype:costume-accessories-costume-trousers,Costume accessories; Costume; Trousers,costume accessories costume trousers,norm_label,1.0
entity:artifacttype:costume-accessories-costume-womans-robe,Costume accessories; Costume; Woman's robe,costume accessories costume womans robe,norm_label,1.0
entity:artifacttype:costume-accessories-costume-womans-short-robe,Costume accessories; Costume; Woman's short robe,costume accessories costume womans short robe,norm_label,1.0
entity:artifacttype:costume-accessories-costume-womans-surcoat,Costume accessories; Costume; Woman's surcoat,costume accessories costume womans surcoat,norm_label,1.0
entity:artifacttype:costume-accessories-fire-screens-furniture-costume-costume-accessories-carried-handscreens,Costume accessories; Fire screens (furniture); Costume; Costume accessories carried; Handscreens,costume accessories fire screens furniture costume costume accessories carried handscreens,norm_label,1.0
entity:artifacttype:costume-accessories-handscreen-and-case-costume,Costume accessories; Handscreen and case; Costume,costume accessories handscreen and case costume,norm_label,1.0
entity:artifacttype:costume-accessories-mans-robe-costume,Costume accessories; Man's robe; Costume,costume accessories mans robe costume,norm_label,1.0
entity:artifacttype:costume-accessories-uncut-textiles,Costume accessories (uncut); Textiles,costume accessories uncut textiles,norm_label,1.0
entity:artifacttype:costume-textiles,Costume; Textiles,costume textiles,norm_label,1.0
entity:artifacttype:costumes,Costumes,costumes,norm_label,1.0
entity:artifacttype:curtain-panel-textiles,Curtain panel; Textiles,curtain panel textiles,norm_label,1.0
entity:artifacttype:cushion-cover-textiles,Cushion cover; Textiles,cushion cover textiles,norm_label,1.0
entity:artifacttype:daoist-priests-robe-embroidery-visual-works,Daoist priest's robe; Embroidery (visual works),daoist priests robe embroidery visual works,norm_label,1.0
entity:artifacttype:decorative-arts,Decorative arts,decorative arts,norm_label,1.0
entity:artifacttype:desks-furniture-decorative-arts,Desks; Furniture; Decorative arts,desks furniture decorative arts,norm_label,1.0
entity:artifacttype:devotional-sculpture-decorative-arts,devotional sculpture; Decorative arts,devotional sculpture decorative arts,norm_label,1.0
entity:artifacttype:devotional-sculpture-sculpture-decorative-arts,devotional sculpture; Sculpture; Decorative arts,devotional sculpture sculpture decorative arts,norm_label,1.0
entity:artifacttype:dinner-services,dinner services,dinner services,norm_label,1.0
entity:artifacttype:dish-shell,"Dish, Shell",dish shell,norm_label,1.0
entity:artifacttype:dishes-vessels,Dishes (vessels),dishes vessels,norm_label,1.0
entity:artifacttype:drawings,Drawings,drawings,norm_label,1.0
entity:artifacttype:drawings-watercolors,Drawings / Watercolors,drawings / watercolors,norm_label,1.0
entity:artifacttype:dress-3-piece,"Dress, 3-Piece",dress 3-piece,norm_label,1.0
entity:artifacttype:dress-fragment-textiles,Dress fragment; Textiles,dress fragment textiles,norm_label,1.0
