canonical_id,museum_id,object_id,field_name,raw_value,source_file
entity:artifact:1:ld1-1643390182193-1643390184854-0,1,ld1-1643390182193-1643390184854-0,title,Chinese man and woman in a boat,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390184879-0,1,ld1-1643390182193-1643390184879-0,title,Landscape with gibbons and cranes,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390185005-0,1,ld1-1643390182193-1643390185005-0,title,Tomb jar,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390185006-0,1,ld1-1643390182193-1643390185006-0,title,"Tomb vessel with lid (""hill jar"")",smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390185007-0,1,ld1-1643390182193-1643390185007-0,title,Tomb jar,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390185009-0,1,ld1-1643390182193-1643390185009-0,title,Tomb jar,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390185010-0,1,ld1-1643390182193-1643390185010-0,title,Tomb jar,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390185011-0,1,ld1-1643390182193-1643390185011-0,title,Tomb jar,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390185115-1,1,ld1-1643390182193-1643390185115-1,title,Tsong-kha-pa and scenes from his life,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390185147-1,1,ld1-1643390182193-1643390185147-1,title,River landscape with a seated figure in foreground,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390185158-0,1,ld1-1643390182193-1643390185158-0,title,Sakyamuni enthroned; and biographical scenes,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390185171-0,1,ld1-1643390182193-1643390185171-0,title,Buddha enthroned on a mat of kusa grass,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390185212-0,1,ld1-1643390182193-1643390185212-0,title,Two Chinese sages near an overhanging rock,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390185213-0,1,ld1-1643390182193-1643390185213-0,title,Two Chinese sages standing under a tree,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390185233-0,1,ld1-1643390182193-1643390185233-0,title,Tomb jar,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390185239-0,1,ld1-1643390182193-1643390185239-0,title,Twelve-panel screen depicting âSpring Morning in the Han Palaceâ with inscription; encomium on the reverse,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390185379-0,1,ld1-1643390182193-1643390185379-0,title,"Tomb vessel with lid (""hill jar"")",smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390185380-0,1,ld1-1643390182193-1643390185380-0,title,Jar,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390185381-0,1,ld1-1643390182193-1643390185381-0,title,Tomb jar,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390185382-0,1,ld1-1643390182193-1643390185382-0,title,Tomb figure of a chicken,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390185382-1,1,ld1-1643390182193-1643390185382-1,title,"Tomb vessel with lid (""hill jar"")",smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390185383-0,1,ld1-1643390182193-1643390185383-0,title,Tomb jar,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390185394-1,1,ld1-1643390182193-1643390185394-1,title,Portrait of Bodhidharma éæ©åå,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390185400-0,1,ld1-1643390182193-1643390185400-0,title,Sakyamuni on an elephant,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390185439-0,1,ld1-1643390182193-1643390185439-0,title,Upper grindstone from a tomb model of a mill,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390185475-0,1,ld1-1643390182193-1643390185475-0,title,Ritual vessel (<em>lei</em>) with dragons,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390185476-0,1,ld1-1643390182193-1643390185476-0,title,Ritual wine cup (<em>gu</em>),smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390185477-0,1,ld1-1643390182193-1643390185477-0,title,Stand,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390185478-0,1,ld1-1643390182193-1643390185478-0,title,Ritual wine warmer (<em>jia</em>) with <em>taotie</em> and birds,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390185489-0,1,ld1-1643390182193-1643390185489-0,title,Tomb tripod vessel,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390185490-0,1,ld1-1643390182193-1643390185490-0,title,Vessel cover,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390185502-0,1,ld1-1643390182193-1643390185502-0,title,Tomb model of a watch tower,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390185503-0,1,ld1-1643390182193-1643390185503-0,title,Tomb model of a stove,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390185504-0,1,ld1-1643390182193-1643390185504-0,title,Tomb model of a foot-powered mill,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390185557-0,1,ld1-1643390182193-1643390185557-0,title,The Rock Bridge at Mount Tiantai å¤©å°ç³æ©å,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390185559-0,1,ld1-1643390182193-1643390185559-0,title,Bodhidharma crossing the Yangzi on a reed,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390185559-1,1,ld1-1643390182193-1643390185559-1,title,Landscape: mountains and water; a figure under a pine tree,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390185560-0,1,ld1-1643390182193-1643390185560-0,title,Landscape: mountain and water; a figure under a plum tree,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390185859-1,1,ld1-1643390182193-1643390185859-1,title,Mirror,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390185861-1,1,ld1-1643390182193-1643390185861-1,title,Mirror,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390185863-0,1,ld1-1643390182193-1643390185863-0,title,Mirror,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390185954-0,1,ld1-1643390182193-1643390185954-0,title,Chinese landscape: summer,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390185955-0,1,ld1-1643390182193-1643390185955-0,title,Chinese landscape: winter,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390185990-0,1,ld1-1643390182193-1643390185990-0,title,Tomb model of a ladle (handle broken),smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390185990-1,1,ld1-1643390182193-1643390185990-1,title,Tomb model of an ear cup,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390185991-0,1,ld1-1643390182193-1643390185991-0,title,Tomb dish,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390186230-0,1,ld1-1643390182193-1643390186230-0,title,The Peach Festival of the Queen Mother of the West,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390186421-0,1,ld1-1643390182193-1643390186421-0,title,Buddhist sculpture,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390186422-0,1,ld1-1643390182193-1643390186422-0,title,Buddhist sculpture,smithsonian_institution.csv
