artifact_id,museum_id,object_id,title
entity:artifact:1:ld1-1643390182193-1643390185475-0,1,ld1-1643390182193-1643390185475-0,Ritual vessel (<em>lei</em>) with dragons
entity:artifact:1:ld1-1643390182193-1643390185476-0,1,ld1-1643390182193-1643390185476-0,Ritual wine cup (<em>gu</em>)
entity:artifact:1:ld1-1643390182193-1643390185477-0,1,ld1-1643390182193-1643390185477-0,Stand
entity:artifact:1:ld1-1643390182193-1643390185478-0,1,ld1-1643390182193-1643390185478-0,Ritual wine warmer (<em>jia</em>) with <em>taotie</em> and birds
entity:artifact:1:ld1-1643390182193-1643390185489-0,1,ld1-1643390182193-1643390185489-0,Tomb tripod vessel
entity:artifact:1:ld1-1643390182193-1643390185490-0,1,ld1-1643390182193-1643390185490-0,Vessel cover
entity:artifact:1:ld1-1643390182193-1643390185502-0,1,ld1-1643390182193-1643390185502-0,Tomb model of a watch tower
entity:artifact:1:ld1-1643390182193-1643390185503-0,1,ld1-1643390182193-1643390185503-0,Tomb model of a stove
entity:artifact:1:ld1-1643390182193-1643390185504-0,1,ld1-1643390182193-1643390185504-0,Tomb model of a foot-powered mill
entity:artifact:1:ld1-1643390182193-1643390185557-0,1,ld1-1643390182193-1643390185557-0,The Rock Bridge at Mount Tiantai å¤©å°ç³æ©å
entity:artifact:1:ld1-1643390182193-1643390185559-0,1,ld1-1643390182193-1643390185559-0,Bodhidharma crossing the Yangzi on a reed
entity:artifact:1:ld1-1643390182193-1643390185559-1,1,ld1-1643390182193-1643390185559-1,Landscape: mountains and water; a figure under a pine tree
entity:artifact:1:ld1-1643390182193-1643390185560-0,1,ld1-1643390182193-1643390185560-0,Landscape: mountain and water; a figure under a plum tree
entity:artifact:1:ld1-1643390182193-1643390185859-1,1,ld1-1643390182193-1643390185859-1,Mirror
entity:artifact:1:ld1-1643390182193-1643390185861-1,1,ld1-1643390182193-1643390185861-1,Mirror
entity:artifact:1:ld1-1643390182193-1643390185863-0,1,ld1-1643390182193-1643390185863-0,Mirror
entity:artifact:1:ld1-1643390182193-1643390185954-0,1,ld1-1643390182193-1643390185954-0,Chinese landscape: summer
entity:artifact:1:ld1-1643390182193-1643390185955-0,1,ld1-1643390182193-1643390185955-0,Chinese landscape: winter
entity:artifact:1:ld1-1643390182193-1643390185990-0,1,ld1-1643390182193-1643390185990-0,Tomb model of a ladle (handle broken)
entity:artifact:1:ld1-1643390182193-1643390185990-1,1,ld1-1643390182193-1643390185990-1,Tomb model of an ear cup
entity:artifact:1:ld1-1643390182193-1643390185991-0,1,ld1-1643390182193-1643390185991-0,Tomb dish
entity:artifact:1:ld1-1643390182193-1643390186230-0,1,ld1-1643390182193-1643390186230-0,The Peach Festival of the Queen Mother of the West
entity:artifact:1:ld1-1643390182193-1643390186421-0,1,ld1-1643390182193-1643390186421-0,Buddhist sculpture
entity:artifact:1:ld1-1643390182193-1643390186422-0,1,ld1-1643390182193-1643390186422-0,Buddhist sculpture
entity:artifact:1:ld1-1643390182193-1643390186427-0,1,ld1-1643390182193-1643390186427-0,Seated Buddha (fragment)
entity:artifact:1:ld1-1643390182193-1643390186428-0,1,ld1-1643390182193-1643390186428-0,Seated Buddha with two bodhisattvas
entity:artifact:1:ld1-1643390182193-1643390186429-0,1,ld1-1643390182193-1643390186429-0,"Pedestal with Buddha, bodhisattvas, and monks"
entity:artifact:1:ld1-1643390182193-1643390186431-0,1,ld1-1643390182193-1643390186431-0,Buddha (fragment)
entity:artifact:1:ld1-1643390182193-1643390186434-0,1,ld1-1643390182193-1643390186434-0,Seated Buddha with bodhisattvas (obverse); Seated Buddha and Prabhutaratna (reverse)
entity:artifact:1:ld1-1643390182193-1643390186435-0,1,ld1-1643390182193-1643390186435-0,Standing bodhisattva
entity:artifact:1:ld1-1643390182193-1643390186436-0,1,ld1-1643390182193-1643390186436-0,"Pedestal with lotus petals, lions, and donor, originally supporting a Shijia Buddha (<em>Shakyamuni</em>) figure"
entity:artifact:1:ld1-1643390182193-1643390186438-0,1,ld1-1643390182193-1643390186438-0,Small stupa
entity:artifact:1:ld1-1643390182193-1643390186440-0,1,ld1-1643390182193-1643390186440-0,Plinth with four repeat images of Buddhist triads
entity:artifact:1:ld1-1643390182193-1643390186482-0,1,ld1-1643390182193-1643390186482-0,The hall of scenic beauty æç¾å å
entity:artifact:1:ld1-1643390182193-1643390186483-0,1,ld1-1643390182193-1643390186483-0,The hall of precious paintings å¯¶ç¹ªå å
entity:artifact:1:ld1-1643390182193-1643390186484-0,1,ld1-1643390182193-1643390186484-0,Landscape with farm buildings and figures
entity:artifact:1:ld1-1643390182193-1643390186488-0,1,ld1-1643390182193-1643390186488-0,River landscape: two water buffaloes and a napping herd-boy
entity:artifact:1:ld1-1643390182193-1643390186489-0,1,ld1-1643390182193-1643390186489-0,Three horsemen riding under willows
entity:artifact:1:ld1-1643390182193-1643390186490-0,1,ld1-1643390182193-1643390186490-0,Zhong Kui taming the Five Pestilences
entity:artifact:1:ld1-1643390182193-1643390186493-0,1,ld1-1643390182193-1643390186493-0,Zhongli Quan seeking the Dao é¾é¢è¨ªéå
entity:artifact:1:ld1-1643390182193-1643390186494-0,1,ld1-1643390182193-1643390186494-0,"Landscape: a lake, cliffs, and trees"
entity:artifact:1:ld1-1643390182193-1643390186495-1,1,ld1-1643390182193-1643390186495-1,Quiet mountain village and trees
entity:artifact:1:ld1-1643390182193-1643390186496-0,1,ld1-1643390182193-1643390186496-0,Landscape: a dappled horse and a horseman
entity:artifact:1:ld1-1643390182193-1643390186498-0,1,ld1-1643390182193-1643390186498-0,Fishing by a mountain torrent
entity:artifact:1:ld1-1643390182193-1643390186502-0,1,ld1-1643390182193-1643390186502-0,Bird on a leafless branch
entity:artifact:1:ld1-1643390182193-1643390186507-0,1,ld1-1643390182193-1643390186507-0,Seated Luohan
entity:artifact:1:ld1-1643390182193-1643390186509-0,1,ld1-1643390182193-1643390186509-0,Luohan and attendant
entity:artifact:1:ld1-1643390182193-1643390186510-0,1,ld1-1643390182193-1643390186510-0,The thatched hut at Liangchang
entity:artifact:1:ld1-1643390182193-1643390186513-0,1,ld1-1643390182193-1643390186513-0,Mandarin ducks under smartweed
entity:artifact:1:ld1-1643390182193-1643390186515-0,1,ld1-1643390182193-1643390186515-0,"Mountain mist, spring morning"
entity:artifact:1:ld1-1643390182193-1643390186517-0,1,ld1-1643390182193-1643390186517-0,Misty mountains
entity:artifact:1:ld1-1643390182193-1643390186518-0,1,ld1-1643390182193-1643390186518-0,Celestial Horses
entity:artifact:1:ld1-1643390182193-1643390186519-0,1,ld1-1643390182193-1643390186519-0,Landscape in blue and green
entity:artifact:1:ld1-1643390182193-1643390186521-1,1,ld1-1643390182193-1643390186521-1,Cloudy mountains
entity:artifact:1:ld1-1643390182193-1643390186522-0,1,ld1-1643390182193-1643390186522-0,Landscape with palaces
entity:artifact:1:ld1-1643390182193-1643390186523-0,1,ld1-1643390182193-1643390186523-0,Landscape in blue and green
entity:artifact:1:ld1-1643390182193-1643390186525-0,1,ld1-1643390182193-1643390186525-0,Herdboys and water buffaloes crossing a stream
entity:artifact:1:ld1-1643390182193-1643390186526-0,1,ld1-1643390182193-1643390186526-0,The Wang River estate
entity:artifact:1:ld1-1643390182193-1643390186527-0,1,ld1-1643390182193-1643390186527-0,Portraits and documents of the Gong family
entity:artifact:1:ld1-1643390182193-1643390186528-0,1,ld1-1643390182193-1643390186528-0,The eighteen scholars at a literary gathering
