type_id,type_name
entity:artifacttype:hats,Hats
entity:artifacttype:headboard-panel-embroidery-visual-works,Headboard panel; Embroidery (visual works)
entity:artifacttype:insignias-badges-embroidery-visual-works,Insignias; Badges; Embroidery (visual works)
entity:artifacttype:insignias-badges-textiles,Insignias; Badges; Textiles
entity:artifacttype:interior-views-bound-print,Interior views; Bound print
entity:artifacttype:interior-views-drawings,Interior views; Drawings
entity:artifacttype:interior-views-table-screen-and-stand-decorative-arts,Interior views; Table screen and stand; Decorative arts
entity:artifacttype:jars,Jars
entity:artifacttype:jewelry,Jewelry
entity:artifacttype:jewelry-decorative-arts-fingernail-guard,Jewelry; Decorative arts; Fingernail guard
entity:artifacttype:jewelry-decorative-arts-headgear,Jewelry; Decorative arts; Headgear
entity:artifacttype:knife-money,knife money
entity:artifacttype:knives-decorative-arts-cutlery,Knives; Decorative arts; Cutlery
entity:artifacttype:lace-handkerchief-edging-lace-needlework,"lace, handkerchief edging; Lace (needlework)"
entity:artifacttype:lace-needlework,Lace (needlework)
entity:artifacttype:lace-needlework-lace-sample,"Lace (needlework); lace, sample"
entity:artifacttype:lacquer-works,Lacquer works
entity:artifacttype:lantern-slide-games-toys-recreational-artifacts,Lantern slide; Games; Toys (recreational artifacts)
entity:artifacttype:lighting-devices,Lighting Devices
entity:artifacttype:lithographs,Lithographs
entity:artifacttype:lobby-cards,Lobby cards
entity:artifacttype:main-garments-trousers-girls-girl-trousers,"Main garments; trousers, girl's; Girl; Trousers"
entity:artifacttype:manuscripts,Manuscripts
entity:artifacttype:masks,Masks
entity:artifacttype:match-safes-containers-decorative-arts,Match safes; Containers; Decorative arts
entity:artifacttype:material-specimens,Material Specimens
entity:artifacttype:mats-furniture-coverings-embroidery-visual-works,Mats (furniture coverings); Embroidery (visual works)
entity:artifacttype:measuring-devices-sundial-compass-timepieces-decorative-arts,Measuring devices; sundial compass; Timepieces; Decorative arts
entity:artifacttype:medallions-medals-embroidery-visual-works,Medallions (medals); Embroidery (visual works)
entity:artifacttype:metalwork,Metalwork
entity:artifacttype:metalwork-decorative-arts,Metalwork; Decorative arts
entity:artifacttype:metalwork-decorative-arts-teapots,Metalwork; Decorative arts; Teapots
entity:artifacttype:mirrors,Mirrors
entity:artifacttype:models,Models
entity:artifacttype:musical-instruments,Musical instruments
entity:artifacttype:natural-materials,Natural materials
entity:artifacttype:neckwear-costume-accessories-costume,Neckwear; Costume accessories; Costume
entity:artifacttype:neckwear-embroidery-visual-works,Neckwear; Embroidery (visual works)
entity:artifacttype:newspaper-clipping-printed-clipping-newspaper,"Newspaper Clipping; Printed; clipping, newspaper"
entity:artifacttype:ornaments-jewelry,Ornaments; Jewelry
entity:artifacttype:ornaments-prints,Ornaments; Prints
entity:artifacttype:paintings,Paintings
entity:artifacttype:paintings-figures-representations,Paintings; Figures (representations)
entity:artifacttype:paintings-still-lifes,Paintings; Still lifes
entity:artifacttype:paintings-with-calligraphy,Paintings with Calligraphy
entity:artifacttype:panel-for-a-fan-case-embroidery-visual-works,Panel for a fan case; Embroidery (visual works)
entity:artifacttype:panels,Panels
entity:artifacttype:panels-textiles,Panels; Textiles
entity:artifacttype:photographs,Photographs
entity:artifacttype:photographs-furniture,Photographs; Furniture
entity:artifacttype:pictures-object-genre,Pictures (object genre)
entity:artifacttype:pillow-shams-textiles,Pillow shams; Textiles
entity:artifacttype:plaques,Plaques
entity:artifacttype:plate-plate,plate; Plate
entity:artifacttype:platters,Platters
entity:artifacttype:prints,Prints
entity:artifacttype:punch-bowls,Punch bowls
entity:artifacttype:punch-card-railroad,"punch card, railroad"
entity:artifacttype:rank-badge-buzi-textiles,Rank badge (buzi); Textiles
entity:artifacttype:recreational-artifacts,Recreational Artifacts
entity:artifacttype:ribbon-material-textiles,Ribbon (material); Textiles
entity:artifacttype:riding-equipment,Riding Equipment
entity:artifacttype:ritual-implements,Ritual Implements
entity:artifacttype:ritual-objects-metalwork-decorative-arts,Ritual objects Metalwork Decorative arts
entity:artifacttype:roundels-embroidery-visual-works,Roundels; Embroidery (visual works)
entity:artifacttype:rubbings,Rubbings
entity:artifacttype:saucers-plates,Saucers (plates)
entity:artifacttype:scores,Scores
entity:artifacttype:sculpture,Sculpture
entity:artifacttype:sculpture-decorative-arts-covered-bowls,Sculpture; Decorative arts; Covered bowls
entity:artifacttype:sculpture-figures-representations-decorative-arts,Sculpture; Figures (representations); Decorative arts
entity:artifacttype:sculpture-sculpture-on-stand-decorative-arts,Sculpture; Sculpture on stand; Decorative arts
entity:artifacttype:seals,Seals
entity:artifacttype:shades-coverings-wall-coverings,Shades (coverings); Wall coverings
entity:artifacttype:shawls-embroidery-visual-works,Shawls; Embroidery (visual works)
entity:artifacttype:shirts-jean-jackets-jackets-trousers-jeans,Shirts; jean jackets; jackets; Trousers; jeans
entity:artifacttype:sleeve-cuff-embroidery-visual-works,Sleeve cuff; Embroidery (visual works)
entity:artifacttype:sleeves-embroidery-visual-works,Sleeves; Embroidery (visual works)
entity:artifacttype:snuff-bottle-and-stopper-containers-decorative-arts,Snuff bottle and stopper; Containers; Decorative arts
entity:artifacttype:songs,Songs
entity:artifacttype:songsheet,songsheet
entity:artifacttype:spectacle-case-embroidery-visual-works,Spectacle case; Embroidery (visual works)
entity:artifacttype:spoons,Spoons
entity:artifacttype:stand-decorative-arts,Stand; Decorative arts
entity:artifacttype:stereoview-stereograph,stereoview; stereograph
entity:artifacttype:t-shirts-jackets-trousers,T-shirts; jackets; Trousers
entity:artifacttype:table-frontal-textiles,Table frontal; Textiles
entity:artifacttype:tablets,Tablets
entity:artifacttype:tableware-design-drawings-drawings,Tableware; Design drawings; Drawings
entity:artifacttype:tableware-design-drawings-prints,Tableware; Design drawings; Prints
entity:artifacttype:teabowl-bowl-tea,"teabowl; bowl, tea"
entity:artifacttype:textile-arts,Textile Arts
entity:artifacttype:textile-fragment-textiles,Textile fragment; Textiles
entity:artifacttype:textile-fragments-textiles,Textile fragments; Textiles
entity:artifacttype:textiles,Textiles
entity:artifacttype:theater-programs,Theater programs
