museum_id,object_id,artifact_id
1,ld1-1643390182193-1643390186581-0,entity:artifact:1:ld1-1643390182193-1643390186581-0
1,ld1-1643390182193-1643390189486-1,entity:artifact:1:ld1-1643390182193-1643390189486-1
1,ld1-1643390182193-1643390189445-1,entity:artifact:1:ld1-1643390182193-1643390189445-1
1,ld1-1643390182193-1643390188567-0,entity:artifact:1:ld1-1643390182193-1643390188567-0
1,ld1-1643390182193-1643390186553-0,entity:artifact:1:ld1-1643390182193-1643390186553-0
1,ld1-1643390182193-1643390195116-0,entity:artifact:1:ld1-1643390182193-1643390195116-0
1,ld1-1643390182193-1643390189956-0,entity:artifact:1:ld1-1643390182193-1643390189956-0
1,ld1-1643390182193-1643390190071-1,entity:artifact:1:ld1-1643390182193-1643390190071-1
1,ld1-1643390182193-1643390189546-0,entity:artifact:1:ld1-1643390182193-1643390189546-0
1,ld1-1643390182193-1643390188862-0,entity:artifact:1:ld1-1643390182193-1643390188862-0
1,ld1-1643390182193-1643390186660-0,entity:artifact:1:ld1-1643390182193-1643390186660-0
1,ld1-1643390182193-1643390191083-0,entity:artifact:1:ld1-1643390182193-1643390191083-0
1,ld1-1643390182193-1643390186761-0,entity:artifact:1:ld1-1643390182193-1643390186761-0
1,ld1-1643390182193-1643390188693-0,entity:artifact:1:ld1-1643390182193-1643390188693-0
1,ld1-1643390182193-1643390189320-0,entity:artifact:1:ld1-1643390182193-1643390189320-0
1,ld1-1643390182193-1643390189914-0,entity:artifact:1:ld1-1643390182193-1643390189914-0
1,ld1-1643390182193-1643390189717-0,entity:artifact:1:ld1-1643390182193-1643390189717-0
1,ld1-1643390182193-1643390189625-0,entity:artifact:1:ld1-1643390182193-1643390189625-0
1,ld1-1643390182193-1643390189252-0,entity:artifact:1:ld1-1643390182193-1643390189252-0
1,ld1-1643390182193-1643390187810-1,entity:artifact:1:ld1-1643390182193-1643390187810-1
1,ld1-1643390182193-1643390190282-0,entity:artifact:1:ld1-1643390182193-1643390190282-0
1,ld1-1643390182193-1643390187788-0,entity:artifact:1:ld1-1643390182193-1643390187788-0
1,ld1-1643390182193-1643390188963-0,entity:artifact:1:ld1-1643390182193-1643390188963-0
1,ld1-1643390182193-1643390188351-0,entity:artifact:1:ld1-1643390182193-1643390188351-0
1,ld1-1643390182193-1643390189009-0,entity:artifact:1:ld1-1643390182193-1643390189009-0
1,ld1-1643390182193-1643390191106-1,entity:artifact:1:ld1-1643390182193-1643390191106-1
1,ld1-1643390182193-1643390186569-0,entity:artifact:1:ld1-1643390182193-1643390186569-0
1,ld1-1643390182193-1643390185233-0,entity:artifact:1:ld1-1643390182193-1643390185233-0
1,ld1-1643390182193-1643390190062-0,entity:artifact:1:ld1-1643390182193-1643390190062-0
1,ld1-1643390182193-1643390189470-1,entity:artifact:1:ld1-1643390182193-1643390189470-1
1,ld1-1643390182193-1643390189701-0,entity:artifact:1:ld1-1643390182193-1643390189701-0
1,ld1-1643390182193-1643390187939-0,entity:artifact:1:ld1-1643390182193-1643390187939-0
1,ld1-1643390182193-1643390189014-0,entity:artifact:1:ld1-1643390182193-1643390189014-0
1,ld1-1643390182193-1643390186587-0,entity:artifact:1:ld1-1643390182193-1643390186587-0
1,ld1-1643390182193-1643390185490-0,entity:artifact:1:ld1-1643390182193-1643390185490-0
1,ld1-1643390182193-1643390189078-1,entity:artifact:1:ld1-1643390182193-1643390189078-1
1,ld1-1643390182193-1643390185379-0,entity:artifact:1:ld1-1643390182193-1643390185379-0
1,ld1-1643390182193-1643390186621-0,entity:artifact:1:ld1-1643390182193-1643390186621-0
1,ld1-1643390182193-1643390189410-0,entity:artifact:1:ld1-1643390182193-1643390189410-0
1,ld1-1643390182193-1643390191053-0,entity:artifact:1:ld1-1643390182193-1643390191053-0
1,ld1-1643390182193-1643390188422-0,entity:artifact:1:ld1-1643390182193-1643390188422-0
1,ld1-1643390182193-1643390189097-1,entity:artifact:1:ld1-1643390182193-1643390189097-1
1,ld1-1643390182193-1643390190708-0,entity:artifact:1:ld1-1643390182193-1643390190708-0
1,ld1-1643390182193-1643390187871-0,entity:artifact:1:ld1-1643390182193-1643390187871-0
1,ld1-1643390182193-1643390187755-0,entity:artifact:1:ld1-1643390182193-1643390187755-0
1,ld1-1643390182193-1643390189679-0,entity:artifact:1:ld1-1643390182193-1643390189679-0
1,ld1-1643390182193-1643390188400-0,entity:artifact:1:ld1-1643390182193-1643390188400-0
1,ld1-1643390182193-1643390191346-0,entity:artifact:1:ld1-1643390182193-1643390191346-0
1,ld1-1643390182193-1643390188960-0,entity:artifact:1:ld1-1643390182193-1643390188960-0
1,ld1-1643390182193-1643390186632-0,entity:artifact:1:ld1-1643390182193-1643390186632-0
1,ld1-1643390182193-1643390190211-0,entity:artifact:1:ld1-1643390182193-1643390190211-0
1,ld1-1643390182193-1643390187742-0,entity:artifact:1:ld1-1643390182193-1643390187742-0
1,ld1-1643390182193-1643390191329-0,entity:artifact:1:ld1-1643390182193-1643390191329-0
1,ld1-1643390182193-1643390192900-0,entity:artifact:1:ld1-1643390182193-1643390192900-0
1,ld1-1643390182193-1643390191179-1,entity:artifact:1:ld1-1643390182193-1643390191179-1
1,ld1-1643390182193-1643390189582-0,entity:artifact:1:ld1-1643390182193-1643390189582-0
1,ld1-1643390182193-1643390188615-0,entity:artifact:1:ld1-1643390182193-1643390188615-0
1,ld1-1643390182193-1643390188879-0,entity:artifact:1:ld1-1643390182193-1643390188879-0
1,ld1-1643390182193-1643390191142-0,entity:artifact:1:ld1-1643390182193-1643390191142-0
1,ld1-1643390182193-1643390185007-0,entity:artifact:1:ld1-1643390182193-1643390185007-0
1,ld1-1643390182193-1643390189154-0,entity:artifact:1:ld1-1643390182193-1643390189154-0
1,ld1-1643390182193-1643390189661-0,entity:artifact:1:ld1-1643390182193-1643390189661-0
1,ld1-1643390182193-1643390187876-0,entity:artifact:1:ld1-1643390182193-1643390187876-0
1,ld1-1643390182193-1643390188970-0,entity:artifact:1:ld1-1643390182193-1643390188970-0
1,ld1-1643390182193-1643390186561-0,entity:artifact:1:ld1-1643390182193-1643390186561-0
1,ld1-1643390182193-1643390184613-0,entity:artifact:1:ld1-1643390182193-1643390184613-0
1,ld1-1643390182193-1643390182369-0,entity:artifact:1:ld1-1643390182193-1643390182369-0
1,ld1-1643390182193-1643390189822-0,entity:artifact:1:ld1-1643390182193-1643390189822-0
1,ld1-1643390182193-1643390188371-0,entity:artifact:1:ld1-1643390182193-1643390188371-0
1,ld1-1643390182193-1643390189614-0,entity:artifact:1:ld1-1643390182193-1643390189614-0
1,ld1-1643390182193-1643390186592-0,entity:artifact:1:ld1-1643390182193-1643390186592-0
1,ld1-1643390182193-1643390186680-0,entity:artifact:1:ld1-1643390182193-1643390186680-0
1,ld1-1643390182193-1643390187800-0,entity:artifact:1:ld1-1643390182193-1643390187800-0
1,ld1-1643390182193-1643390196422-0,entity:artifact:1:ld1-1643390182193-1643390196422-0
1,ld1-1643390182193-1643390188893-0,entity:artifact:1:ld1-1643390182193-1643390188893-0
1,ld1-1643390182193-1643390189499-0,entity:artifact:1:ld1-1643390182193-1643390189499-0
1,ld1-1643390182193-1643390191084-0,entity:artifact:1:ld1-1643390182193-1643390191084-0
1,ld1-1643390182193-1643390189619-1,entity:artifact:1:ld1-1643390182193-1643390189619-1
1,ld1-1643390182193-1643390186421-0,entity:artifact:1:ld1-1643390182193-1643390186421-0
