object_id,museum_id,title,artist,artist_province,dynasty,artist_wikidata_id,artist_birth,artist_death,artist_bio,artist_wikipedia_summary,artist_enriched_at,period,period_start_year,period_end_year,type,material,culture,description,provenance,bibliography,dimensions,museum,location,detail_url,image_url,image_urls,iiif_manifest_url,image_path,image_paths,image_count,credit_line,accession_number,crawl_date
201722,2,Sherd: Second of Five Fragments of a Bowl? (Incomplete),,,Neolithic（新石器时代）,,,,,,,"Neolithic period, Liangzhu culture, c. 3300-2200 BCE",-3300,-2200,Fragments,Blackened gray earthenware,Chinese,"Neolithic period, Liangzhu culture, c. 3300-2200 BCE Fragments Blackened gray earthenware Chinese",,,5.4 x 4.6 cm (2 1/8 x 1 13/16 in.),Harvard Art Museums,"Cambridge, MA, USA",https://www.harvardartmuseums.org/collections/object/201722,"https://nrs.harvard.edu/urn-3:HUAM:CARP13994_dynmc/full/!800,800/0/default.jpg","https://nrs.harvard.edu/urn-3:HUAM:CARP13994_dynmc/full/!800,800/0/default.jpg",https://nrs.harvard.edu/urn-3:HUAM:CARP13994/manifest,C:\Users\Administrator\Desktop\harvard\harvard\201722_1.jpg,C:\Users\Administrator\Desktop\harvard\harvard\201722_1.jpg,1,"Harvard Art Museums/Arthur M. Sackler Museum, Ernest B. and Helen Pratt Dane Fund for Asian Art in honor of Professor Max Loehr",1984.170,2026-05-19
201723,2,Sherd: Third of Five Fragments of a Bowl? (Incomplete),,,Neolithic（新石器时代）,,,,,,,"Neolithic period, Liangzhu culture, c. 3300-2200 BCE",-3300,-2200,Fragments,Blackened gray earthenware,Chinese,"Neolithic period, Liangzhu culture, c. 3300-2200 BCE Fragments Blackened gray earthenware Chinese",,,9.2 x 6.1 cm (3 5/8 x 2 3/8 in.),Harvard Art Museums,"Cambridge, MA, USA",https://www.harvardartmuseums.org/collections/object/201723,"https://nrs.harvard.edu/urn-3:HUAM:CARP13997_dynmc/full/!800,800/0/default.jpg","https://nrs.harvard.edu/urn-3:HUAM:CARP13997_dynmc/full/!800,800/0/default.jpg",https://nrs.harvard.edu/urn-3:HUAM:CARP13997/manifest,C:\Users\Administrator\Desktop\harvard\harvard\201723_1.jpg,C:\Users\Administrator\Desktop\harvard\harvard\201723_1.jpg,1,"Harvard Art Museums/Arthur M. Sackler Museum, Ernest B. and Helen Pratt Dane Fund for Asian Art in honor of Professor Max Loehr",1984.171,2026-05-19
201724,2,Sherd: Fifth of Five Fragments of a Bowl? (Incomplete),,,Neolithic（新石器时代）,,,,,,,"Neolithic period, Liangzhu culture, c. 3300-2200 BCE",-3300,-2200,Fragments,Blackened gray earthenware,Chinese,"Neolithic period, Liangzhu culture, c. 3300-2200 BCE Fragments Blackened gray earthenware Chinese",,,5.6 x 4.1 cm (2 3/16 x 1 5/8 in.),Harvard Art Museums,"Cambridge, MA, USA",https://www.harvardartmuseums.org/collections/object/201724,"https://nrs.harvard.edu/urn-3:HUAM:CARP13996_dynmc/full/!800,800/0/default.jpg","https://nrs.harvard.edu/urn-3:HUAM:CARP13996_dynmc/full/!800,800/0/default.jpg",https://nrs.harvard.edu/urn-3:HUAM:CARP13996/manifest,C:\Users\Administrator\Desktop\harvard\harvard\201724_1.jpg,C:\Users\Administrator\Desktop\harvard\harvard\201724_1.jpg,1,"Harvard Art Museums/Arthur M. Sackler Museum, Ernest B. and Helen Pratt Dane Fund for Asian Art in honor of Professor Max Loehr",1984.173,2026-05-19
201725,2,Sherd: Fifth of Six Fragments of a Pedestalled Bowl (Incomplete),,,Neolithic（新石器时代）,,,,,,,"Neolithic period, Liangzhu culture, c. 3300-2200 BCE",-3300,-2200,Fragments,Blackened gray earthenware,Chinese,"Neolithic period, Liangzhu culture, c. 3300-2200 BCE Fragments Blackened gray earthenware Chinese",,,6.2 x 7.4 cm (2 7/16 x 2 15/16 in.),Harvard Art Museums,"Cambridge, MA, USA",https://www.harvardartmuseums.org/collections/object/201725,"https://nrs.harvard.edu/urn-3:HUAM:CARP13977_dynmc/full/!800,800/0/default.jpg","https://nrs.harvard.edu/urn-3:HUAM:CARP13977_dynmc/full/!800,800/0/default.jpg",https://nrs.harvard.edu/urn-3:HUAM:CARP13977/manifest,C:\Users\Administrator\Desktop\harvard\harvard\201725_1.jpg,C:\Users\Administrator\Desktop\harvard\harvard\201725_1.jpg,1,"Harvard Art Museums/Arthur M. Sackler Museum, Ernest B. and Helen Pratt Dane Fund for Asian Art in honor of Professor Max Loehr",1984.187,2026-05-19
201726,2,Fragment of the Leg and Body of a Cooking Vessel,,,Neolithic（新石器时代）,,,,,,,"Neolithic period, Liangzhu culture, c. 3300-2200 BCE",-3300,-2200,Fragments,Low-fired gray earthenware,Chinese,"Neolithic period, Liangzhu culture, c. 3300-2200 BCE Fragments Low-fired gray earthenware Chinese",,,12 x 10.8 cm (4 3/4 x 4 1/4 in.),Harvard Art Museums,"Cambridge, MA, USA",https://www.harvardartmuseums.org/collections/object/201726,"https://nrs.harvard.edu/urn-3:HUAM:CARP13925_dynmc/full/!800,800/0/default.jpg","https://nrs.harvard.edu/urn-3:HUAM:CARP13925_dynmc/full/!800,800/0/default.jpg",https://nrs.harvard.edu/urn-3:HUAM:CARP13925/manifest,C:\Users\Administrator\Desktop\harvard\harvard\201726_1.jpg,C:\Users\Administrator\Desktop\harvard\harvard\201726_1.jpg,1,"Harvard Art Museums/Arthur M. Sackler Museum, Ernest B. and Helen Pratt Dane Fund for Asian Art in honor of Professor Max Loehr",1984.84,2026-05-19
201737,2,"Small Lobed, Foliate-Rimmed Dish",,,Southern Song（南宋）,,,,,,,"Song dynasty, Southern Song period, 1127-1279",1127,1279,Vessels,Qingbai ware: porcelain with pale sky-blue glaze over trailed ribs of porcelain slip,Chinese,"Song dynasty, Southern Song period, 1127-1279 Vessels Qingbai ware: porcelain with pale sky-blue glaze over trailed ribs of porcelain slip Chinese",,,H. 2.54 x Diam. 10.8 cm (1 x 4 1/4 in.),Harvard Art Museums,"Cambridge, MA, USA",https://www.harvardartmuseums.org/collections/object/201737,"https://nrs.harvard.edu/urn-3:HUAM:CARP08320_dynmc/full/!800,800/0/default.jpg","https://nrs.harvard.edu/urn-3:HUAM:CARP08320_dynmc/full/!800,800/0/default.jpg",https://nrs.harvard.edu/urn-3:HUAM:CARP08320/manifest,C:\Users\Administrator\Desktop\harvard\harvard\201737_1.jpg,C:\Users\Administrator\Desktop\harvard\harvard\201737_1.jpg,1,"Harvard Art Museums/Arthur M. Sackler Museum, Gift of Margot Warner",1984.281,2026-05-19
201742,2,One of Two Fragments of Jade Arc-shaped Ornaments with  Incised Curvilinear Designs,,,Zhou（周）,,,,,,,"Zhou dynasty, Eastern Zhou period, 770-256 BCE",-770,-256,Ritual Implements,Nephrite,Chinese,"Zhou dynasty, Eastern Zhou period, 770-256 BCE Ritual Implements Nephrite Chinese",,,5.3 x 10.8 cm (2 1/16 x 4 1/4 in.),Harvard Art Museums,"Cambridge, MA, USA",https://www.harvardartmuseums.org/collections/object/201742,"https://nrs.harvard.edu/urn-3:HUAM:CARP13800_dynmc/full/!800,800/0/default.jpg","https://nrs.harvard.edu/urn-3:HUAM:CARP13800_dynmc/full/!800,800/0/default.jpg",https://nrs.harvard.edu/urn-3:HUAM:CARP13800/manifest,C:\Users\Administrator\Desktop\harvard\harvard\201742_1.jpg,C:\Users\Administrator\Desktop\harvard\harvard\201742_1.jpg,1,"Harvard Art Museums/Arthur M. Sackler Museum, Gift of Mr. and Mrs. Harold Gershinowitz",1983.76.B,2026-05-19
201743,2,"Archaistic Small Jade ""Pi"" Disk with Creatures in Relief",,,Northern Song（北宋）,,,,,,,"Song dynasty, 960-1279",960,1279,Ritual Implements,Nephrite,Chinese,"Song dynasty, 960-1279 Ritual Implements Nephrite Chinese",,,Diam. 6 cm (2 3/8 in.),Harvard Art Museums,"Cambridge, MA, USA",https://www.harvardartmuseums.org/collections/object/201743,"https://nrs.harvard.edu/urn-3:HUAM:VRS16207_dynmc/full/!800,800/0/default.jpg","https://nrs.harvard.edu/urn-3:HUAM:VRS16207_dynmc/full/!800,800/0/default.jpg",https://nrs.harvard.edu/urn-3:HUAM:VRS16207/manifest,C:\Users\Administrator\Desktop\harvard\harvard\201743_1.jpg,C:\Users\Administrator\Desktop\harvard\harvard\201743_1.jpg,1,"Harvard Art Museums/Arthur M. Sackler Museum, Gift of Mr. and Mrs. Harold Gershinowitz",1983.79,2026-05-19
201744,2,Embroidered Frontal for Small Table,,,Qing（清）,,,,,,,"Qing dynasty, 1644-1911",1644,1911,Textile Arts,Embroidery on silk,Chinese,"Qing dynasty, 1644-1911 Textile Arts Embroidery on silk Chinese",,,38.8 x 44 cm (15 1/4 x 17 5/16 in.),Harvard Art Museums,"Cambridge, MA, USA",https://www.harvardartmuseums.org/collections/object/201744,"https://nrs.harvard.edu/urn-3:HUAM:INV119618_dynmc/full/!800,800/0/default.jpg","https://nrs.harvard.edu/urn-3:HUAM:INV119618_dynmc/full/!800,800/0/default.jpg",https://nrs.harvard.edu/urn-3:HUAM:INV119618/manifest,C:\Users\Administrator\Desktop\harvard\harvard\201744_1.jpg,C:\Users\Administrator\Desktop\harvard\harvard\201744_1.jpg,1,"Harvard Art Museums/Arthur M. Sackler Museum, Gift of Joan Cave",1983.149,2026-05-19
201751,2,Portrait of Lu Zhi,Weng Fanggang 翁方綱,,Qing（清）,Q11610448,1733-01-01,1818-01-01,翁方綱,翁方綱（1733年—1818年），字忠敘，一字正三，號覃谿，晚号苏斋，順天府大興縣（今屬北京市）人。清代书法家、文学家、金石学家。,2026-05-21,"Qing dynasty, 1644-1911",1644,1911,Paintings,Hanging scroll; ink and color on paper,Chinese,"Qing dynasty, 1644-1911 Paintings Hanging scroll; ink and color on paper Weng Fanggang 翁方綱 Chinese",,,"painting proper: H. 65.5 × W. 30 cm (25 13/16 × 11 13/16 in.)
overall mounting including roller ends and suspension cord: H. 246.1 × W. 59.7 cm (96 7/8 × 23 1/2 in.)",Harvard Art Museums,"Cambridge, MA, USA",https://www.harvardartmuseums.org/collections/object/201751,"https://nrs.harvard.edu/urn-3:HUAM:817234/full/!800,800/0/default.jpg","https://nrs.harvard.edu/urn-3:HUAM:817234/full/!800,800/0/default.jpg | https://nrs.harvard.edu/urn-3:HUAM:817235/full/!800,800/0/default.jpg | https://nrs.harvard.edu/urn-3:HUAM:817236/full/!800,800/0/default.jpg | https://nrs.harvard.edu/urn-3:HUAM:817237/full/!800,800/0/default.jpg",https://nrs.harvard.edu/urn-3:HUAM:817234/manifest,C:\Users\Administrator\Desktop\harvard\harvard\201751_1.jpg,C:\Users\Administrator\Desktop\harvard\harvard\201751_1.jpg | C:\Users\Administrator\Desktop\harvard\harvard\201751_2.jpg | C:\Users\Administrator\Desktop\harvard\harvard\201751_3.jpg | C:\Users\Administrator\Desktop\harvard\harvard\201751_4.jpg,4,"Harvard Art Museums/Arthur M. Sackler Museum, Gift of Margot Warner",1984.261,2026-05-19
201753,2,Small Circular Dish with Flaring Walls and Notched Rim,,Hebei,Northern Song（北宋）,,,,,,,"Song dynasty, Northern Song period, 960-1127",960,1127,Vessels,"Ding ware: porcelaneous white stoneware with ivory-hued glaze over incised and carved decoration. From the Ding kilns at Quyang, Hebei province.",Chinese,"Song dynasty, Northern Song period, 960-1127 Vessels Ding ware: porcelaneous white stoneware with ivory-hued glaze over incised and carved decoration. From the Ding kilns at Quyang, Hebei province. Chinese",,,H. 2.5 x Diam. 14.6 cm (1 x 5 3/4 in.),Harvard Art Museums,"Cambridge, MA, USA",https://www.harvardartmuseums.org/collections/object/201753,"https://nrs.harvard.edu/urn-3:HUAM:CARP08302_dynmc/full/!800,800/0/default.jpg","https://nrs.harvard.edu/urn-3:HUAM:CARP08302_dynmc/full/!800,800/0/default.jpg",https://nrs.harvard.edu/urn-3:HUAM:CARP08302/manifest,C:\Users\Administrator\Desktop\harvard\harvard\201753_1.jpg,C:\Users\Administrator\Desktop\harvard\harvard\201753_1.jpg,1,"Harvard Art Museums/Arthur M. Sackler Museum, Gift of Margot Warner",1984.279,2026-05-19
201757,2,Sherd: First of Four Fragments of a Shallow Dish with Rounded Bottom,,,Neolithic（新石器时代）,,,,,,,"Neolithic period, Liangzhu culture, c. 3300-2200 BCE",-3300,-2200,Fragments,Blackened gray earthenware,Chinese,"Neolithic period, Liangzhu culture, c. 3300-2200 BCE Fragments Blackened gray earthenware Chinese",,,4.8 x 20.3 cm (1 7/8 x 8 in.),Harvard Art Museums,"Cambridge, MA, USA",https://www.harvardartmuseums.org/collections/object/201757,"https://nrs.harvard.edu/urn-3:HUAM:CARP14009_dynmc/full/!800,800/0/default.jpg","https://nrs.harvard.edu/urn-3:HUAM:CARP14009_dynmc/full/!800,800/0/default.jpg",https://nrs.harvard.edu/urn-3:HUAM:CARP14009/manifest,C:\Users\Administrator\Desktop\harvard\harvard\201757_1.jpg,C:\Users\Administrator\Desktop\harvard\harvard\201757_1.jpg,1,"Harvard Art Museums/Arthur M. Sackler Museum, Ernest B. and Helen Pratt Dane Fund for Asian Art in honor of Professor Max Loehr",1984.162,2026-05-19
201758,2,Sherd: Second of Three Fragments of a Shallow Bowl with Flattened Rim,,,Neolithic（新石器时代）,,,,,,,"Neolithic period, Liangzhu culture, c. 3300-2200 BCE",-3300,-2200,Fragments,Blackened gray earthenware,Chinese,"Neolithic period, Liangzhu culture, c. 3300-2200 BCE Fragments Blackened gray earthenware Chinese",,,4.9 x 12.4 x 19.5 cm (1 15/16 x 4 7/8 x 7 11/16 in.),Harvard Art Museums,"Cambridge, MA, USA",https://www.harvardartmuseums.org/collections/object/201758,"https://nrs.harvard.edu/urn-3:HUAM:CARP14007_dynmc/full/!800,800/0/default.jpg","https://nrs.harvard.edu/urn-3:HUAM:CARP14007_dynmc/full/!800,800/0/default.jpg",https://nrs.harvard.edu/urn-3:HUAM:CARP14007/manifest,C:\Users\Administrator\Desktop\harvard\harvard\201758_1.jpg,C:\Users\Administrator\Desktop\harvard\harvard\201758_1.jpg,1,"Harvard Art Museums/Arthur M. Sackler Museum, Ernest B. and Helen Pratt Dane Fund for Asian Art in honor of Professor Max Loehr",1984.167,2026-05-19
201759,2,Sherd: First of Five Fragments of a Bowl? (Incomplete),,,Neolithic（新石器时代）,,,,,,,"Neolithic period, Liangzhu culture, c. 3300-2200 BCE",-3300,-2200,Fragments,Blackened gray earthenware,Chinese,"Neolithic period, Liangzhu culture, c. 3300-2200 BCE Fragments Blackened gray earthenware Chinese",,"Andrzej Dajnowski, ""Analytical Examination of Chinese Liangzhu Neolithic Ceramics"" (thesis (certificate in conservation), Straus Center for Conservation and Technical Studies, 1989), Unpublished passim",8.8 x 13.2 cm (3 7/16 x 5 3/16 in.),Harvard Art Museums,"Cambridge, MA, USA",https://www.harvardartmuseums.org/collections/object/201759,"https://nrs.harvard.edu/urn-3:HUAM:CARP13993_dynmc/full/!800,800/0/default.jpg","https://nrs.harvard.edu/urn-3:HUAM:CARP13993_dynmc/full/!800,800/0/default.jpg",https://nrs.harvard.edu/urn-3:HUAM:CARP13993/manifest,C:\Users\Administrator\Desktop\harvard\harvard\201759_1.jpg,C:\Users\Administrator\Desktop\harvard\harvard\201759_1.jpg,1,"Harvard Art Museums/Arthur M. Sackler Museum, Ernest B. and Helen Pratt Dane Fund for Asian Art in honor of Professor Max Loehr",1984.169,2026-05-19
